sno,question,a,b,c,d,correct
1,What is the climate like in the tundras?,Hot and humid,Cold throughout the year,Hot during the day and cold at night,Hot in the summer and cold in the winter,b
2,Which vegetation zone has the tallest trees absent and grass are found?,Equatorial rainforests,Hot deserts,Tundras,Temperate grasslands,d
3,Which animal is not typically found in the hot deserts?,Camels,Scorpions,Deer,Snakes,c
4,What type of houses do the Pygmies of Congo live in?,Longhouses,Igloos,Houses made with sticks and leaves,Brick houses,c
5,Where are the Khoikhois from?,The velds,The tundras,The steppes,The downs,a
6,Which vegetation is found in temperate grasslands?,"Mosses, lichens, and scanty grass",Tall trees,"Cactuses, acacias, and date palms",Coarse grass and thorny bushes,d
7,Which people mainly live in the equatorial rainforests?,Bedouin and Tuaregs,Pygmies and Dayaks,"Inuit, Lapps and Chuckchis",Khoikhois and Kirghiz,b
8,Which of the following is not a characteristic of the climate in the hot deserts?,Very hot during the day,Very cold at night,High rainfall throughout the year,Extreme climate,c
9,What are the major temperate grasslands in North America called?,Pampas,Steppes,Prairies,Downs,c
10,What kind of plants grow in the tundra during the thawing season?,Tall trees,Cactuses and acacias,"Mosses, lichens, and scanty grass",Dense forests,c
